0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:39 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:40 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:40 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:41 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:41 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:41 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:41 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:41 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:41 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:41 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:41 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:42 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:42 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:42 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:42 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:42 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:42 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:46 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2351
